date,RMM1,RMM2,phase,amplitude
1990-06-14,0.01738201151393649,1.0381142695080707,6.0,1.0382597800553317
1990-06-15,0.07041389228919329,0.8839084709965015,6.0,0.8867086902284691
1990-06-16,0.39708794780710727,0.5669876277177732,6.0,0.6922093673728261
1990-06-17,0.7258833132740782,0.5996455508757282,5.0,0.9415313968077799
1990-06-18,0.5159897771370158,0.776034564555484,6.0,0.9319201121849056
1990-06-19,0.7663764539348382,0.7378741247903602,5.0,1.063856707071435
1990-06-20,0.7233730075832334,0.8878592090902755,6.0,1.1452346847988941
1990-06-21,0.4416931027563124,1.1449090413945582,6.0,1.2271550472900743
1990-06-22,0.0163376698833467,0.9304533763619787,6.0,0.9305968004676478
1990-06-23,-0.34009526647761584,0.6609616276437803,7.0,0.7433270232528855
1990-06-24,-0.21908145920972444,0.6287415098213881,7.0,0.6658172211214882
1990-06-25,-0.06650082983950108,0.7631465649637876,7.0,0.7660385368800782
1990-06-26,0.11508545523339207,0.6609268700081745,6.0,0.6708718130202517
1990-06-27,-0.09513551001839783,0.7777095527767569,7.0,0.7835068051693513
1990-06-28,-0.5784174238073312,0.8115888532996989,7.0,0.9966158652982752
1990-06-29,-0.9730542147636109,0.8140251449597292,8.0,1.2686494557189292
1990-06-30,-1.5188989875695913,0.598041800177883,8.0,1.6323933745270875
1990-07-01,-1.1673922349168528,0.4613130524720963,8.0,1.2552347838254354
1990-07-02,-1.0343596865793419,0.4476976851746433,8.0,1.127090581333749
1990-07-03,-0.939237075736516,0.3117579258612673,8.0,0.9896258327142645
1990-07-04,-1.1269880247364013,0.46952372089136707,8.0,1.2208826857560597
1990-07-05,-0.8433723528940348,0.23047684390425743,8.0,0.874297718859021
1990-07-06,-0.44835415515141264,-0.13970485554397932,1.0,0.46961568873292675
1990-07-07,-0.5134750151891263,-0.16701149848431796,1.0,0.539953175608266
1990-07-08,-0.4082825510438344,0.05923713011194399,8.0,0.41255748577714674
1990-07-09,-0.6334292963293199,0.03239783905096375,8.0,0.6342572769968269
1990-07-10,-0.6188019420468677,-0.37346647929802096,1.0,0.722767635302131
1990-07-11,-0.49698396135407436,-0.23032064523304496,1.0,0.5477596712644645
1990-07-12,-0.4019543493689426,0.02406400100981662,8.0,0.4026740308502777
1990-07-13,-0.3893270198327808,0.14672409391620503,8.0,0.4160570731370948
1990-07-14,-0.19988421466478548,0.013769234285244793,8.0,0.20035790746801085
1990-07-15,-0.3042297377395739,0.051211143028458854,8.0,0.30850982884726896
1990-07-16,-0.25583159689685203,0.1855185727899626,8.0,0.31601732044433584
1990-07-17,-0.22456172728083013,0.06095636412518284,8.0,0.2326878761059798
1990-07-18,-0.31022680296452027,0.32077151114079516,7.0,0.44624548360418903
1990-07-19,-0.33372156860008756,0.11637514559650483,8.0,0.3534307002249672
1990-07-20,-0.09370397885793108,0.17237455557980627,7.0,0.19619740840577715
1990-07-21,0.12028394931210976,-0.0622120663386599,4.0,0.1354199751153574
1990-07-22,0.2933875835518012,-0.08618035244751913,4.0,0.3057831377469068
1990-07-23,0.38133337995277494,-0.038834520353122064,4.0,0.3833057091112321
1990-07-24,0.4252099240817491,0.07546374673938656,5.0,0.43185443914535965
1990-07-25,0.22366641282052643,0.408585664144381,6.0,0.4657992155084711
1990-07-26,0.050986450863358734,0.5225689548552638,6.0,0.5250504078183011
1990-07-27,0.03213251717998996,0.7042454456343985,6.0,0.7049781176441683
1990-07-28,-0.16917547913202372,0.7869151365483821,7.0,0.8048948843597583
1990-07-29,-0.07304486552711949,0.6715405624706151,7.0,0.6755015021620789
1990-07-30,0.01748036593308186,0.7890540962417482,6.0,0.7892476987543495
1990-07-31,0.18175827479139411,0.7605300030055554,6.0,0.7819475403930713
1990-08-01,-0.06458742906390506,0.6005881566872142,7.0,0.6040510491225313
1990-08-02,-0.2923139204123104,0.26956925543785554,8.0,0.39763678343952835
1990-08-03,-0.13629325238710402,0.37293968633512414,7.0,0.3970640506139981
1990-08-04,-0.07383878352334614,0.2813137324075602,7.0,0.29084288197114255
1990-08-05,-0.39652965086410336,0.4184478995520096,7.0,0.576484525944883
1990-08-06,-0.5925530014925722,0.3296437254939613,8.0,0.6780737757319585
1990-08-07,-0.3149104992063526,0.23963465846661303,8.0,0.39571882953532106
1990-08-08,-0.23679603767795337,0.031749620881666364,8.0,0.23891505161062637
1990-08-09,-0.2555753375892052,0.0976018885883515,8.0,0.2735779264484786
1990-08-10,-0.1792107922148441,0.10167511583488793,8.0,0.20604450302376404
1990-08-11,-0.20385096275557946,0.2976206750608217,7.0,0.36073990802243633
1990-08-12,0.1871882534736363,0.48550202159325967,6.0,0.5203380201461856
1990-08-13,0.5046002302586556,0.30302663133696434,5.0,0.5885970877234415
1990-08-14,0.968741500242522,0.44709201176899815,5.0,1.0669355000560166
1990-08-15,1.3558559482166377,0.5124283283677574,5.0,1.4494578793563517
1990-08-16,1.65546983737944,0.9678159921909376,5.0,1.9176152317953772
1990-08-17,1.8525679062791873,1.1047364753858342,5.0,2.1569539928852373
1990-08-18,1.5644947082338674,0.9726883743510724,5.0,1.8422177845438106
1990-08-19,1.3795112918380459,1.060823242632872,5.0,1.740229110323924
1990-08-20,0.9370242590048049,1.2141476463630783,6.0,1.5336782482426052
1990-08-21,0.7198680347151527,1.474007726987158,6.0,1.6403989656856361
1990-08-22,0.6767850240675535,1.7177588628464466,6.0,1.846275569813357
1990-08-23,0.2735529497808328,1.9407055769426589,6.0,1.9598901379184839
1990-08-24,-0.006241502522000893,1.8927410738434982,7.0,1.8927513648041496
1990-08-25,0.042661616186771674,1.7939562768056299,6.0,1.7944634676097437
1990-08-26,-0.045598039318952024,1.5677144131108924,7.0,1.568377397906946
1990-08-27,-0.06738926141604691,1.0359133466643335,7.0,1.0381029690505177
1990-08-28,-0.049216083126820354,0.6995419634114517,7.0,0.7012711183357653
1990-08-29,0.055750114281083944,0.20805687751876825,6.0,0.21539670267952957
1990-08-30,-0.08543369848565162,-0.22161839287711915,2.0,0.23751553401488157
1990-08-31,0.010291099456799128,-0.302232353973806,3.0,0.30240751068149363
1990-09-01,0.002344956503298855,-0.28122293418456346,3.0,0.2812327106372544
1990-09-02,0.16453466749599296,-0.3997222877955489,3.0,0.4322609908013035
1990-09-03,0.18182402501074646,-0.38228692112343216,3.0,0.42332406750991824
1990-09-04,0.35845334903171444,-0.40174486350876804,3.0,0.5384122387053722
1990-09-05,0.21501079836969997,-0.10097590174757283,4.0,0.23754110412581494
1990-09-06,0.04028588766865446,-0.02812006947899263,4.0,0.04912932986266776
1990-09-07,-0.19225511387999134,0.40343783765550917,7.0,0.44690504323084274
1990-09-08,-0.45492096999709447,0.2771856596831302,8.0,0.5327147256056185
1990-09-09,-0.5984484921488967,0.08101772675903757,8.0,0.6039076666217197
1990-09-10,-0.7776669698610819,0.0006579467709579465,8.0,0.7776672481896549
1990-09-11,-0.8122089714346433,0.03675884046195663,8.0,0.8130403591649241
1990-09-12,-0.8577859414570397,-0.12411803684720042,1.0,0.8667191058423386
1990-09-13,-1.0147091048169292,-0.44830650551061313,1.0,1.1093301087960747
1990-09-14,-0.9367478691709387,-0.5246454309612015,1.0,1.0736616779157013
1990-09-15,-0.7213997876730956,-0.4974990438307237,1.0,0.8763121317585829
1990-09-16,-0.5137294019859729,-0.29709747903790446,1.0,0.593451607559996
1990-09-17,-0.3944425731621181,-0.3620430919396782,1.0,0.5354065221343454
1990-09-18,-0.4929494763852236,-0.42457164302772454,1.0,0.6505845574033614
1990-09-19,-0.296092245610168,-0.8853291329225738,2.0,0.9335300163957817
1990-09-20,-0.27845129969342985,-0.9057541212641185,2.0,0.9475893912913418
1990-09-21,-0.28843316457963464,-1.0280248419883167,2.0,1.0677212961136096
1990-09-22,0.06870611553649693,-1.1502069180604626,3.0,1.1522571261078243
1990-09-23,-0.03821014700464087,-1.369855906281478,2.0,1.370388711026315
1990-09-24,-0.0005985523487487682,-1.4980554309266576,2.0,1.4980555505033075
1990-09-25,-0.09273062286686817,-1.5130605614521713,2.0,1.515899479200134
1990-09-26,-0.16311151789273776,-1.1500441880593675,2.0,1.1615537016248552
1990-09-27,-0.3976491243544516,-1.1174077835944223,2.0,1.1860543752026131
1990-09-28,-0.36119293248667816,-0.799598825098329,2.0,0.8773930792848518
1990-09-29,-0.3117771609589275,-0.9559800589415979,2.0,1.0055361113304633
1990-09-30,-0.11238267503486951,-0.7520503166325614,2.0,0.7604009103066152
1990-10-01,0.24952459744342784,-0.46663783097807404,3.0,0.5291629144500078
1990-10-02,0.3615585040262817,-0.1360279418794437,4.0,0.38630059902319597
1990-10-03,0.48516157958309053,0.22927705791154726,5.0,0.5366094740014702
1990-10-04,0.528357132594636,0.6199363442236981,6.0,0.8145442470811941
1990-10-05,0.556199002319964,0.8316480228285603,6.0,1.0004977581466021
1990-10-06,0.2803430876929341,0.9553837943152695,6.0,0.9956658281057201
1990-10-07,-0.2969943697186275,0.8680714535493155,7.0,0.9174713641917039
