year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category,landfall_date,month,date,RMM1,RMM2,phase,amplitude,formation_region,typhoon_category,landfall_region
1978,7811,Della,1978-08-13 12:00:00,25.299047113384837,119.30952886615164,15.0,996.0,0,25.0,1,1978-08-13,8,1978-08-13,1.269237628337942,0.6222025749359194,5.0,1.413541722569876,South WNP,Storms,east/north China
1978,7812,Elaine,1978-08-27 12:00:00,21.205703879546896,110.5394660336312,30.0,970.0,1,35.0,2,1978-08-27,8,1978-08-27,0.4443986170135151,1.1228543613418287,6.0,1.207597634805522,South WNP,TCs,south China
1978,7818,Lola,1978-10-01 18:00:00,19.405662788139598,110.6957529088953,25.0,975.0,1,40.0,2,1978-10-01,10,1978-10-01,1.2938500127118224,1.4609125871756552,6.0,1.9514900570493947,South WNP,TCs,south China
1979,7908,Hope,1979-08-02 06:00:00,22.470574295698952,114.52559706630804,45.0,955.0,2,70.0,3,1979-08-02,8,1979-08-02,1.838783620137847,-0.1875748194349335,4.0,1.8483261385841223,Open WNP,TCs,south China
1979,7913,Mac,1979-09-23 18:00:00,22.159253399280303,113.4814932014394,15.0,1000.0,0,30.0,1,1979-09-23,9,1979-09-23,1.9090914958085867,-0.72307522407681,4.0,2.0414377578173664,Open WNP,Storms,south China
1979,7914,Nancy,1979-09-19 18:00:00,18.9,110.51403892103764,20.0,994.0,1,20.0,1,1979-09-19,9,1979-09-19,0.0644961359973135,-1.1562242944137455,3.0,1.1580217487384024,South China Sea,Storms,south China
1980,8009,Kim,1980-07-27 12:00:00,22.8090479406105,115.93132267986434,25.0,993.0,1,60.0,3,1980-07-27,7,1980-07-27,-0.8192775414492373,-0.6213089518890725,1.0,1.0282220108617617,Open WNP,TCs,south China
1980,8012,Norris,1980-08-27 18:00:00,24.586314230302268,121.86947875151763,35.0,975.0,2,45.0,2,1980-08-27,8,1980-08-27,1.7448350199316551,0.3372401187369701,5.0,1.7771269353835208,Open WNP,TCs,east/north China
1980,8014,Ruth,1980-09-15 00:00:00,19.429512534515474,110.73768106016487,25.0,985.0,1,30.0,1,1980-09-15,9,1980-09-15,-0.232587953299814,1.6538726366654282,7.0,1.670147255283453,South China Sea,Storms,south China
1981,8103,Ike,1981-06-13 06:00:00,22.42989262139437,120.48690335925492,30.0,974.0,1,30.0,1,1981-06-13,6,1981-06-13,1.0195928679929585,1.0134425035588026,5.0,1.4375796758724853,South China Sea,Storms,south China
