year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category
1977,7702,(nameless),1977-07-06 06:00:00,21.38570306593479,110.84524744505434,12.0,998.0,0,20.0,1
1977,7703,Sarah,1977-07-20 12:00:00,19.141313125756568,110.57631874915937,30.0,957.0,1,35.0,2
1977,7704,Thelma,1977-07-25 12:00:00,25.389166398504035,119.64650016089759,15.0,990.0,0,45.0,2
1977,7705,Vera,1977-07-31 12:00:00,24.931667524472992,121.88001029367591,45.0,945.0,2,55.0,3
1977,7708,Babe,1977-09-11 06:00:00,31.69547701983003,121.56381615864024,25.0,980.0,1,70.0,3
1977,7712,Freda,1977-09-25 00:00:00,21.58768842573971,111.68216083366853,20.0,997.0,1,30.0,1
1978,7803,Rose,1978-06-24 18:00:00,23.891152714500745,121.60088472854993,9.5,1001.0,0,25.0,1
1978,7805,Trix,1978-07-23 00:00:00,29.196606760186135,121.52205605879011,35.0,992.0,2,40.0,2
1978,7807,Agnes,1978-07-30 00:00:00,22.602431622952423,114.86747720765081,20.0,985.0,1,40.0,2
1978,7811,Della,1978-08-13 12:00:00,25.299047113384834,119.30952886615164,15.0,996.0,0,25.0,1
1978,7812,Elaine,1978-08-27 12:00:00,21.205703879546896,110.53946603363119,30.0,970.0,1,35.0,2
1978,7818,Lola,1978-10-01 18:00:00,19.405662788139594,110.6957529088953,25.0,975.0,1,40.0,2
1979,7905,Ellis,1979-07-06 06:00:00,21.237254779080605,110.63333124437025,10.0,997.0,0,45.0,2
1979,7908,Hope,1979-08-02 06:00:00,22.470574295698952,114.52559706630804,45.0,955.0,2,70.0,3
1979,7907,Gordon,1979-07-29 12:00:00,22.828366963183058,116.10601829750682,20.0,990.0,1,30.0,1
1979,7913,Mac,1979-09-23 18:00:00,22.159253399280306,113.48149320143939,15.0,1000.0,0,30.0,1
1979,7914,Nancy,1979-09-19 18:00:00,18.9,110.51403892103764,20.0,994.0,1,20.0,1
1980,8004,Georgia,1980-05-24 00:00:00,22.966185466001424,116.30498014338505,20.0,988.0,1,25.0,1
1980,8005,Herbert,1980-06-27 00:00:00,18.5763612584744,110.1618193707628,25.0,985.0,1,25.0,1
1980,8006,Ida,1980-07-11 18:00:00,23.21710564808123,116.78004341057189,20.0,985.0,1,30.0,1
1980,8008,(nameless),1980-07-19 06:00:00,21.525844842434548,111.66772099503571,12.0,999.0,0,20.0,1
1980,8009,Kim,1980-07-27 12:00:00,22.8090479406105,115.93132267986434,25.0,993.0,1,60.0,3
1980,8012,Norris,1980-08-27 18:00:00,24.586314230302268,121.86947875151763,35.0,975.0,2,45.0,2
1980,8014,Ruth,1980-09-15 00:00:00,19.429512534515474,110.73768106016489,25.0,985.0,1,30.0,1
1980,8015,Percy,1980-09-19 00:00:00,23.83310845757403,117.62525298522921,35.0,980.0,2,60.0,3
1981,8103,Ike,1981-06-13 06:00:00,22.429892621394366,120.48690335925492,30.0,974.0,1,30.0,1
1981,8104,June,1981-06-20 12:00:00,24.36830058249547,121.77641618125378,30.0,980.0,1,40.0,2
1981,8105,Kelly,1981-07-03 18:00:00,18.28743978459335,109.72093369234442,45.0,965.0,2,45.0,2
1981,8106,Lynn,1981-07-07 00:00:00,21.82254132108368,112.65163911927755,30.0,986.0,1,30.0,1
1981,8107,Maury,1981-07-20 06:00:00,25.8,119.61286755613555,15.0,994.0,0,30.0,1
1981,8108,(nameless),1981-07-23 06:00:00,28.147426155346302,121.04577215339611,20.0,996.0,1,25.0,1
1981,8111,Roy,1981-08-09 12:00:00,18.943111762875024,110.50859020279158,12.0,995.0,0,25.0,1
1981,8113,Warren,1981-08-19 00:00:00,18.674393182011556,110.32560681798844,20.0,990.0,1,25.0,1
1981,8116,Clara,1981-09-22 00:00:00,22.793867301308147,115.87674596856104,25.0,985.0,1,60.0,3
1981,8120,Hazen,1981-11-22 12:00:00,18.368274636567502,109.75034571885999,15.0,1005.0,0,45.0,2
1982,8208,Winona,1982-07-17 18:00:00,21.644864675132297,108.55279320388001,12.0,998.0,0,25.0,1
1982,8209,Andy,1982-07-29 00:00:00,22.863526464235086,121.19412255960819,40.0,965.0,2,55.0,3
1982,8212,Dot,1982-08-15 18:00:00,23.908451649666013,117.64787030601175,12.0,1000.0,0,35.0,2
1982,8213,Ellis,1982-08-28 06:00:00,42.64031673828788,130.33992081542803,20.0,980.0,1,65.0,3
1982,8217,Irving,1982-09-15 00:00:00,20.15529513325347,110.68940973349305,35.0,965.0,2,40.0,2
1983,8302,Tip,1983-07-13 06:00:00,19.800817572206913,110.99918242779309,15.0,994.0,0,30.0,1
1983,8303,Vera,1983-07-17 12:00:00,19.45776964695701,110.76892141217195,30.0,970.0,1,35.0,2
1983,8304,Wayne,1983-07-25 12:00:00,23.90865084632118,117.7504840690467,30.0,975.0,1,65.0,3
1983,8309,Ellen,1983-09-09 06:00:00,22.25058343687346,113.59244040223325,30.0,985.0,1,60.0,3
1983,8311,Georgia,1983-09-30 06:00:00,19.579811859611386,110.92042331587437,25.0,985.0,1,30.0,1
1983,8314,Joe,1983-10-13 18:00:00,21.722924120979798,112.38153697002886,25.0,995.0,1,30.0,1
1984,8402,Wynne,1984-06-25 12:00:00,21.44099170212465,111.31305808512745,30.0,970.0,1,30.0,1
1984,8403,Alex,1984-07-03 06:00:00,23.228791957660135,121.40890100529249,30.0,985.0,1,35.0,2
1984,8404,Betty,1984-07-09 06:00:00,21.613286169952428,111.73837460129162,25.0,985.0,1,30.0,1
1984,8406,Ed,1984-07-31 18:00:00,32.686550286769936,120.89853699815261,25.0,988.0,1,55.0,3
1984,8407,Freda,1984-08-07 06:00:00,24.856512913756955,121.82615314682283,25.0,985.0,1,30.0,1
1984,8408,Gerald,1984-08-21 06:00:00,22.148499103700633,114.34909946222038,15.0,990.0,0,30.0,1
1984,8410,Ike,1984-09-06 06:00:00,21.706746568244622,108.69578339484711,20.0,990.0,1,50.0,2
1984,8411,June,1984-08-31 00:00:00,22.848072282464194,116.14391567045844,12.0,990.0,0,30.0,1
1985,8503,(nameless),1985-06-20 00:00:00,18.605917272353555,110.1881654552929,10.0,996.0,0,20.0,1
1985,8504,Hal,1985-06-24 06:00:00,22.79367791113867,115.31329026110767,25.0,975.0,1,40.0,2
1985,8506,Jeff,1985-07-30 18:00:00,28.200350879623507,121.0996491203765,30.0,975.0,1,40.0,2
1985,8508,Lee,1985-08-14 12:00:00,41.791968149681615,126.89239731880083,20.0,988.0,1,30.0,1
1985,8509,Mamie,1985-08-18 06:00:00,31.69728961523114,121.80271038476886,30.0,982.0,1,35.0,2
1985,8510,Nelson,1985-08-23 18:00:00,25.725910433609492,119.60364173443797,30.0,975.0,1,50.0,2
1985,8515,Tess,1985-09-06 00:00:00,21.723659259524545,112.3579089945574,30.0,975.0,1,40.0,2
1985,8517,Winona,1985-09-22 00:00:00,20.923038354403726,110.52617698735776,25.0,980.0,1,25.0,1
1985,8518,Andy,1985-09-29 18:00:00,18.699331712912826,110.43155123443421,25.0,980.0,1,35.0,2
1985,8521,Dot,1985-10-21 00:00:00,18.198981931538363,109.61018068461635,40.0,970.0,2,70.0,3
1986,8604,Mac,1986-05-19 06:00:00,18.16537308804195,109.57597018396854,10.0,995.0,0,25.0,1
1986,8607,Peggy,1986-07-11 18:00:00,22.809822581644582,114.7770806428293,20.0,985.0,1,65.0,3
1986,8609,(nameless),1986-07-20 18:00:00,20.345598645277423,110.45440135472258,20.0,996.0,1,20.0,1
1986,8613,(nameless),1986-08-10 18:00:00,18.97955408334661,110.5102229583267,12.0,995.0,0,20.0,1
1986,8616,Wayne,1986-08-22 00:00:00,23.977618823147743,120.33285646944323,35.0,965.0,2,45.0,2
1986,8617,Abby,1986-09-19 06:00:00,23.41329255389691,121.47621960435936,45.0,946.0,2,50.0,2
1986,8621,Ellen,1986-10-19 06:00:00,21.1,110.32579896017381,20.0,995.0,1,40.0,2
1987,8702,Ruth,1987-06-19 06:00:00,21.506380730827306,111.5462044614389,35.0,982.0,2,35.0,2
1987,8704,Thelma,1987-07-16 18:00:00,45.14701158221855,132.4571632430212,12.0,990.0,0,60.0,3
1987,8705,Vernon,1987-07-21 06:00:00,24.420636935078644,121.78730095778792,25.0,990.0,1,30.0,1
1987,8707,Alex,1987-07-27 18:00:00,27.818069195852313,120.78425744055302,25.0,985.0,1,35.0,2
1987,8710,Cary,1987-08-21 18:00:00,18.294780273071364,109.20782959039296,35.0,970.0,2,40.0,2
1987,8712,Gerald,1987-09-10 12:00:00,24.601253687837012,118.67035398185399,30.0,980.0,1,45.0,2
1987,8719,Lynn,1987-10-28 06:00:00,22.140991534947837,113.40115736866085,10.0,1008.0,0,70.0,3
1988,8804,Vanessa,1988-06-29 12:00:00,21.865393766972947,112.95576770550451,15.0,1000.0,0,25.0,1
1988,8805,Warren,1988-07-19 12:00:00,22.851281015161184,116.14871898483881,30.0,975.0,1,55.0,3
