year,chinese_code,name,landfall_time,month,in_jjaso,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,landfall_region,landfall_region2,max_wind,lmi_category,genesis_time,genesis_lat,genesis_lon,formation_region,track_length_km,pre_landfall_track_km,ocean_residence_days,phase_landfall,amp_landfall,group_landfall,active_landfall,phase_genesis,amp_genesis,group_genesis,active_genesis,tcp_total,tcp_depth,affected_area,n_days,coastal_total,coastal_depth,coastal_area,inland_total,inland_depth,inland_area
1977,7705,Vera,1977-07-31 12:00:00,7,True,24.931667524472992,121.88001029367592,45.0,945.0,2,East China,East/North China,55.0,3,1977-07-25 12:00:00,24.5,137.0,North WNP,3242.139554671492,1761.661043747791,6.0,5.0,0.8985848035939176,5-6,False,4.0,0.7081547624002958,3-4,False,36590.34794548895,30.26348714741506,1209059.2127488619,10,19732.59333315133,41.01425048937699,481115.54149361385,16857.754612337627,23.15804818148708,727943.6712552481
1977,7708,Babe,1977-09-11 06:00:00,9,True,31.69547701983003,121.56381615864024,25.0,980.0,1,East China,East/North China,70.0,3,1977-08-31 06:00:00,5.0,155.0,Eastern Tropical WNP,5998.681762934759,5671.666797375206,11.0,6.0,1.7421034234448665,5-6,True,5.0,1.237697870059815,5-6,True,9608.691607409386,29.524620886516722,325446.739666604,12,8440.310029144563,38.75692012156781,217775.56118159197,1168.3815782648237,10.85138655213534,107671.17848501205
1977,7712,Freda,1977-09-25 00:00:00,9,True,21.58768842573971,111.68216083366852,20.0,997.0,1,South China,South China,30.0,1,1977-09-21 00:00:00,14.5,132.5,Western Tropical WNP,2611.555828630926,2369.415591373123,4.0,1.0,2.1030121553641816,1-2,True,7.0,1.4737308185922549,7-8,True,11173.183442983116,19.012046659985685,587689.6708074631,5,8122.80916456443,25.689747807092633,316188.74679345114,3050.374278418685,11.235226139640169,271500.92401401186
1978,7803,Rose,1978-06-24 18:00:00,6,True,23.891152714500745,121.60088472854991,9.5,1001.0,0,South China,South China,25.0,1,1978-06-21 06:00:00,18.5,129.0,Western Tropical WNP,1340.4294995375744,1227.7866283433814,3.5,8.0,0.4006791506289758,7-8,False,5.0,0.2528367270510125,5-6,False,176.82190796102196,2.2521567096100816,78512.25769792695,4,172.11745700475845,2.329641167835548,73881.5313624765,4.704450956263532,1.0159207466545124,4630.726335450448
1978,7805,Trix,1978-07-23 00:00:00,7,True,29.196606760186132,121.52205605879011,35.0,992.0,2,East China,East/North China,40.0,2,1978-07-11 12:00:00,19.0,153.0,Eastern Tropical WNP,6880.93476247418,5441.911326388013,11.5,2.0,0.5249794616969058,1-2,False,8.0,0.9760156607661432,7-8,False,23453.04350060687,18.36775584921126,1276859.4973247086,15,9673.577022931548,25.153782856917246,384577.4243165708,13779.466477675323,15.442948922217841,892282.0730081379
1978,7807,Agnes,1978-07-30 00:00:00,7,True,22.602431622952423,114.8674772076508,20.0,985.0,1,South China,South China,40.0,2,1978-07-23 06:00:00,17.3,113.5,South China Sea,2171.7789594591186,1671.0568705068908,6.75,4.0,1.8217790954981328,3-4,True,2.0,0.5249794616969058,1-2,False,26448.70199984763,47.64828893585028,555081.884167047,9,23683.984911274,66.55755399391012,355842.1770343459,2764.71708857363,13.87633583868012,199239.70713270103
1978,7811,Della,1978-08-13 12:00:00,8,True,25.299047113384837,119.30952886615164,15.0,996.0,0,East China,East/North China,25.0,1,1978-08-09 12:00:00,11.4,130.6,Western Tropical WNP,2241.3900032204074,2048.9251996260873,4.0,5.0,1.413541722569876,5-6,True,4.0,1.094495196018064,3-4,True,4672.653359977368,12.021930281071095,388677.46283095714,5,3567.2092514659817,18.153704347543297,196500.34963518204,1105.444108511386,5.752215183840574,192177.11319577508
1978,7812,Elaine,1978-08-27 12:00:00,8,True,21.205703879546896,110.5394660336312,30.0,970.0,1,South China,South China,35.0,2,1978-08-21 00:00:00,17.0,127.0,Western Tropical WNP,2906.331338562345,2043.6340861788854,6.5,6.0,1.207597634805522,5-6,True,5.0,1.6791328427791168,5-6,True,25315.214736537037,37.58583808993986,673530.6706733472,8,22540.640915733486,48.73733756504817,462492.25012854283,2774.5738208035496,13.147245007050726,211038.4205448043
1978,7818,Lola,1978-10-01 18:00:00,10,True,19.405662788139598,110.6957529088953,25.0,975.0,1,South China,South China,40.0,2,1978-09-24 00:00:00,12.2,136.0,Western Tropical WNP,3820.901688245559,2985.6646896091283,7.75,6.0,1.9514900570493947,5-6,True,4.0,0.8346439383083347,3-4,False,29758.898715975713,57.182504854270434,520419.642193294,11,28585.72107453771,72.99803401833053,391595.7663648798,1173.1776414380063,9.106833914860701,128823.87582841422
1979,7905,Ellis,1979-07-06 06:00:00,7,True,21.237254779080605,110.63333124437024,10.0,997.0,0,South China,South China,45.0,2,1979-06-28 00:00:00,11.5,135.0,Western Tropical WNP,3485.6203717424796,3059.838452959016,8.25,7.0,0.9632167979010572,7-8,False,5.0,1.1211989720653022,5-6,True,17607.36019884708,32.922179563255824,534817.5738187915,10,14713.194859622567,39.215546696254975,375187.80430587893,2894.165339224515,18.130486237345636,159629.76951291243
